"Order Number","Order Date","Order Status","Order Purchased From","Order Payment Method","Order Shipping Method","Order Subtotal","Order Tax","Order Shipping","Order Discount","Order Grand Total","Order Base Grand Total","Order Paid","Order Refunded","Order Due","Total Qty Items Ordered","Customer Name","Customer Email","Shipping Name","Shipping Company","Shipping Street","Shipping Zip","Shipping City","Shipping State","Shipping State Name","Shipping Country","Shipping Country Name","Shipping Phone Number","Billing Name","Billing Company","Billing Street","Billing Zip","Billing City","Billing State","Billing State Name","Billing Country","Billing Country Name","Billing Phone Number","Order Item Increment","Item Name","Item Status","Item SKU","Item Options","Item Original Price","Item Price","Item Qty Ordered","Item Qty Invoiced","Item Qty Shipped","Item Qty Canceled","Item Qty Refunded","Item Tax","Item Discount","Item Total"
72908,"08.09.2015 19:50:35",complete,"Admin, Default, Admin",paypal_standard,"Auslandsversand - Auslandsversand","60,05 €","12,10 €","12,60 €","0,00 €","84,75 €","84,75 €","84,75 €","0,00 €","0,00 €",6,"Henry Montagne",mon@agne,"Herr Henry Montagne ",Herr,"Gobist. 22",5241,Zürich,ZH,Zürich,CH,Schweiz,+812374,"Herr Henry Montagne ",Herr,"Gobist. 22",5241,Zürich,ZH,Zürich,CH,Schweiz,+812374,1,"Klamath-Alge (100g)",Gemischt,Klamath100,,"39,95 €","33,57 €",1,1,1,0,0,"6,38 €","0,00 €","39,95 €"
72908,"08.09.2015 19:50:35",complete,"Admin, Default, Admin",paypal_standard,"Auslandsversand - Auslandsversand","60,05 €","12,10 €","12,60 €","0,00 €","84,75 €","84,75 €","84,75 €","0,00 €","0,00 €",6,"Henry Montagne",mon@agne,"Herr Henry Montagne ",Herr,"Gobist. 22",5241,Zürich,ZH,Zürich,CH,Schweiz,+812374,"Herr Henry Montagne ",Herr,"Gobist. 22",5241,Zürich,ZH,Zürich,CH,Schweiz,+812374,2,"SteviaSweet ®  Blätter bio (100g) ",Gemischt,SteviaLeaves100,,"6,65 €","5,59 €",1,1,1,0,0,"1,06 €","0,00 €","6,65 €"
72908,"08.09.2015 19:50:35",complete,"Admin, Default, Admin",paypal_standard,"Auslandsversand - Auslandsversand","60,05 €","12,10 €","12,60 €","0,00 €","84,75 €","84,75 €","84,75 €","0,00 €","0,00 €",6,"Henry Montagne",mon@agne,"Herr Henry Montagne ",Herr,"Gobist. 22",5241,Zürich,ZH,Zürich,CH,Schweiz,+812374,"Herr Henry Montagne ",Herr,"Gobist. 22",5241,Zürich,ZH,Zürich,CH,Schweiz,+812374,3,"Steviolglykosid Pulver (25g)",Gemischt,stevioglyc25g,,"7,90 €","6,64 €",1,1,1,0,0,"1,26 €","0,00 €","7,90 €"
72908,"08.09.2015 19:50:35",complete,"Admin, Default, Admin",paypal_standard,"Auslandsversand - Auslandsversand","60,05 €","12,10 €","12,60 €","0,00 €","84,75 €","84,75 €","84,75 €","0,00 €","0,00 €",6,"Henry Montagne",mon@agne,"Herr Henry Montagne ",Herr,"Gobist. 22",5241,Zürich,ZH,Zürich,CH,Schweiz,+812374,"Herr Henry Montagne ",Herr,"Gobist. 22",5241,Zürich,ZH,Zürich,CH,Schweiz,+812374,4,"Rote Banane Pulver - bio & roh (175g)",Gemischt,8001,,"6,85 €","6,40 €",1,1,1,0,0,"0,45 €","0,00 €","6,86 €"
72908,"08.09.2015 19:50:35",complete,"Admin, Default, Admin",paypal_standard,"Auslandsversand - Auslandsversand","60,05 €","12,10 €","12,60 €","0,00 €","84,75 €","84,75 €","84,75 €","0,00 €","0,00 €",6,"Henry Montagne",mon@agne,"Herr Henry Montagne ",Herr,"Gobist. 22",5241,Zürich,ZH,Zürich,CH,Schweiz,+812374,"Herr Henry Montagne ",Herr,"Gobist. 22",5241,Zürich,ZH,Zürich,CH,Schweiz,+812374,5,"Goji Beeren - bio & roh  (100g)",Gemischt,GojiOrg100,,"4,85 €","4,53 €",1,1,1,0,0,"0,32 €","0,00 €","4,85 €"
72908,"08.09.2015 19:50:35",complete,"Admin, Default, Admin",paypal_standard,"Auslandsversand - Auslandsversand","60,05 €","12,10 €","12,60 €","0,00 €","84,75 €","84,75 €","84,75 €","0,00 €","0,00 €",6,"Henry Montagne",mon@agne,"Herr Henry Montagne ",Herr,"Gobist. 22",5241,Zürich,ZH,Zürich,CH,Schweiz,+812374,"Herr Henry Montagne ",Herr,"Gobist. 22",5241,Zürich,ZH,Zürich,CH,Schweiz,+812374,6,"Cashewnüsse – roh, bio, handgeknackt (100g)",Gemischt,44-cashew100,,"3,55 €","3,32 €",1,1,1,0,0,"0,23 €","0,00 €","3,55 €"
100020033,"13.04.2015 13:08:41",complete,"Admin, Default, Admin",bankpayment,"Abholung - Abholung im Ökodorf Sieben Linden","71,90 €","7,10 €","0,00 €","0,00 €","79,00 €","79,00 €","79,00 €","0,00 €","0,00 €",11,"Doris  Studer",doris.truelife@bluewin.ch,"Frau Doris  Studer",,"Seestrasse 45","5712 ","Beinwil am See",AG,Aargau,CH,Schweiz,"0041 62 775 0101","Frau Doris  Studer",,"Seestrasse 45","5712 ","Beinwil am See",AG,Aargau,CH,Schweiz,"0041 62 775 0101",1,"Kakaobutter - ungeröstet & bio, Peru (250g)",Gemischt,CacButt,,"8,35 €","7,80 €",1,1,1,0,0,"0,55 €","0,00 €","8,35 €"
100020033,"13.04.2015 13:08:41",complete,"Admin, Default, Admin",bankpayment,"Abholung - Abholung im Ökodorf Sieben Linden","71,90 €","7,10 €","0,00 €","0,00 €","79,00 €","79,00 €","79,00 €","0,00 €","0,00 €",11,"Doris  Studer",doris.truelife@bluewin.ch,"Frau Doris  Studer",,"Seestrasse 45","5712 ","Beinwil am See",AG,Aargau,CH,Schweiz,"0041 62 775 0101","Frau Doris  Studer",,"Seestrasse 45","5712 ","Beinwil am See",AG,Aargau,CH,Schweiz,"0041 62 775 0101",2,"Kakao Pulver - ungeröstet & bio, Peru (250g)",Gemischt,CacPow250,,"7,15 €","6,69 €",1,1,1,0,0,"0,46 €","0,00 €","7,15 €"
100020033,"13.04.2015 13:08:41",complete,"Admin, Default, Admin",bankpayment,"Abholung - Abholung im Ökodorf Sieben Linden","71,90 €","7,10 €","0,00 €","0,00 €","79,00 €","79,00 €","79,00 €","0,00 €","0,00 €",11,"Doris  Studer",doris.truelife@bluewin.ch,"Frau Doris  Studer",,"Seestrasse 45","5712 ","Beinwil am See",AG,Aargau,CH,Schweiz,"0041 62 775 0101","Frau Doris  Studer",,"Seestrasse 45","5712 ","Beinwil am See",AG,Aargau,CH,Schweiz,"0041 62 775 0101",3,"Kakao Nibs Peru  - roh & bio (250g)",Gemischt,CacNib250,,"8,45 €","7,10 €",1,1,1,0,0,"1,35 €","0,00 €","8,45 €"
100020033,"13.04.2015 13:08:41",complete,"Admin, Default, Admin",bankpayment,"Abholung - Abholung im Ökodorf Sieben Linden","71,90 €","7,10 €","0,00 €","0,00 €","79,00 €","79,00 €","79,00 €","0,00 €","0,00 €",11,"Doris  Studer",doris.truelife@bluewin.ch,"Frau Doris  Studer",,"Seestrasse 45","5712 ","Beinwil am See",AG,Aargau,CH,Schweiz,"0041 62 775 0101","Frau Doris  Studer",,"Seestrasse 45","5712 ","Beinwil am See",AG,Aargau,CH,Schweiz,"0041 62 775 0101",4,"Rohkostschokolade Hi-Crunch (50g)",Gemischt,HiCrunch,,"2,95 €","2,75 €",1,1,1,0,0,"0,20 €","0,00 €","2,95 €"
